utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T09:54:35.0516716Z,warmup,5.1,5,5,0,0,0,0,0,0,183515,224129024,104255488,27597888,1301048,0,0,0
2026-09-15T09:54:40.0862347Z,sustained,10.1,23,23,0,0,0,0,0,0,255877,229765120,108683264,27597888,1301048,0,0,0
2026-09-15T09:54:45.1039589Z,sustained,15.1,65,64,0,0,0,0,0,1,513537,235671552,113278976,27597888,1301048,0,0,0
2026-09-15T09:54:50.1226541Z,sustained,20.2,121,121,0,0,0,0,0,0,675797,228532224,107888640,27597888,1301048,0,0,0
2026-09-15T09:54:55.1384122Z,sustained,25.2,179,179,0,0,0,0,0,0,669003,223256576,100429824,27597888,1301048,0,0,0
2026-09-15T09:55:00.1619119Z,sustained,30.2,221,221,0,0,0,0,0,1,491629,224804864,101777408,27597888,1301048,0,0,0
2026-09-15T09:55:05.1831467Z,sustained,35.2,276,276,0,0,0,0,0,0,670519,224919552,101892096,27597888,1301048,0,0,0
2026-09-15T09:55:10.1977834Z,sustained,40.2,335,335,0,0,0,0,0,0,706648,224866304,101822464,27597888,1301048,0,0,0
2026-09-15T09:55:15.2188045Z,sustained,45.2,380,380,0,0,0,0,0,1,545231,227094528,104046592,27597888,1301048,0,0,0
2026-09-15T09:55:20.2381080Z,sustained,50.3,431,431,0,0,0,0,0,0,609348,229343232,105861120,31153760,1637968,1,0,0
2026-09-15T09:55:25.2566873Z,drain,55.3,448,448,0,0,0,0,0,0,207197,229613568,106131456,31153760,1637968,0,0,0
2026-09-15T09:55:30.2776192Z,drain,60.3,448,448,0,0,0,0,0,0,9520,229150720,106143744,31153760,1637968,0,0,0
