utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T12:26:33.8607768Z,warmup,60.1,60,60,0,0,0,0,0,0,144997,224866304,102420480,27404352,1301608,0,0,0
2026-09-15T12:27:33.8751337Z,sustained,120.1,529,529,0,0,0,0,0,0,1007663,238153728,114470912,28805576,1638528,2,0,0
2026-09-15T12:28:33.8920374Z,sustained,180.1,977,977,0,0,0,0,0,0,957747,238653440,116412416,28532584,1638528,2,1,1
2026-09-15T12:29:33.9154697Z,sustained,240.1,1819,1819,0,0,0,0,0,0,1790424,241192960,121430016,31121632,1638528,3,1,0
2026-09-15T12:30:33.9253681Z,sustained,300.1,2267,2267,0,0,0,0,0,0,953500,241221632,121393152,31121632,1638528,3,0,0
2026-09-15T12:31:33.9426038Z,sustained,360.2,3110,3110,0,0,0,0,0,0,1792657,241389568,120659968,31121632,1638528,12,0,0
2026-09-15T12:32:33.9560656Z,sustained,420.2,3558,3558,0,0,0,0,0,0,955296,222248960,101322752,31121632,1638528,6,0,0
2026-09-15T12:33:33.9751691Z,sustained,480.2,4395,4395,0,0,0,0,0,0,1778900,214974464,93929472,31121632,1638528,14,0,0
2026-09-15T12:34:34.0037760Z,sustained,540.2,4843,4843,0,0,0,0,0,0,954250,214978560,93884416,31121632,1638528,6,0,0
2026-09-15T12:35:34.0223579Z,sustained,600.2,5694,5694,0,0,0,0,0,0,1809201,214958080,93908992,31121632,1638528,12,0,0
2026-09-15T12:36:34.0397862Z,sustained,660.3,6140,6140,0,0,0,0,0,0,951531,213794816,92786688,32089640,1638528,5,0,0
2026-09-15T12:37:34.0538366Z,sustained,720.3,6991,6991,0,0,0,0,0,0,1809434,215355392,94408704,31392064,1638528,11,0,0
2026-09-15T12:38:34.0658636Z,sustained,780.3,7439,7439,0,0,0,0,0,0,960614,214466560,93216768,31886336,1638528,6,0,0
2026-09-15T12:39:34.0898665Z,drain,840.3,7493,7493,0,0,0,0,0,0,121024,213086208,91394048,36090664,1638528,1,0,0
2026-09-15T12:40:34.0995579Z,drain,900.3,7493,7493,0,0,0,0,0,0,2975,214163456,92753920,36090664,1638528,0,0,0
