utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T13:03:36.2753062Z,warmup,5.1,6,6,0,0,0,0,0,0,187010,224784384,105574400,31156288,1301608,0,0,0
2026-09-15T13:03:41.3109977Z,sustained,10.1,24,24,0,0,0,0,0,0,247505,230387712,109637632,31156288,1301608,0,0,0
2026-09-15T13:03:46.3283596Z,sustained,15.1,66,65,1,0,0,0,0,1,484612,236949504,114601984,31156288,1301608,0,0,0
2026-09-15T13:03:51.3483240Z,sustained,20.2,121,121,0,0,0,0,0,0,619161,232611840,109608960,31156288,1301608,0,0,0
2026-09-15T13:03:56.3727589Z,sustained,25.2,186,186,0,0,0,0,0,0,718274,224612352,101527552,31156288,1301608,0,0,0
2026-09-15T13:04:01.3935066Z,sustained,30.2,235,234,1,0,0,0,0,1,570430,226193408,103989248,31156288,1301608,0,0,0
2026-09-15T13:04:06.4114511Z,sustained,35.2,288,288,0,0,0,0,0,0,623896,226299904,103989248,31156288,1301608,0,0,0
2026-09-15T13:04:11.4232855Z,sustained,40.2,348,348,0,0,0,0,0,0,662121,226271232,103931904,31156288,1301608,0,0,0
2026-09-15T13:04:16.4404967Z,sustained,45.3,397,396,0,0,0,0,0,1,548379,227778560,106414080,31156288,1301608,0,0,0
2026-09-15T13:04:21.4614463Z,sustained,50.3,448,448,0,0,0,0,0,0,585729,230346752,108515328,35708280,1638528,1,0,0
2026-09-15T13:04:26.4767412Z,drain,55.3,464,464,0,0,0,0,0,0,191540,230969344,108519424,35708280,1638528,0,0,0
2026-09-15T13:04:31.4905465Z,drain,60.3,464,464,0,0,0,0,0,0,9755,230219776,106541056,35708280,1638528,0,0,0
