utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T09:57:28.2688462Z,warmup,60.1,60,60,0,0,0,0,0,0,72346,225320960,102154240,27642448,1498320,0,0,0
2026-09-15T09:58:28.3034174Z,warmup,120.1,120,120,0,0,0,0,0,0,62435,225243136,101834752,27642448,1498320,0,0,0
2026-09-15T09:59:28.3169243Z,warmup,180.1,179,179,0,0,0,0,0,0,63234,225730560,102281216,27642448,1498320,0,0,0
2026-09-15T10:00:28.3291989Z,warmup,240.1,239,239,0,0,0,0,0,0,63271,225660928,102150144,27642448,1498320,0,0,0
2026-09-15T10:01:28.3531404Z,warmup,300.2,298,298,0,0,0,0,0,0,61834,225779712,102252544,27642448,1498320,0,0,0
2026-09-15T10:02:28.3705813Z,warmup,360.2,358,358,0,0,0,0,0,0,63077,227606528,105254912,27642448,1498320,0,0,0
2026-09-15T10:03:28.3825250Z,warmup,420.2,417,417,0,0,0,0,0,0,61540,230531072,107642880,31760296,1638528,1,0,0
2026-09-15T10:04:28.3942634Z,warmup,480.2,477,477,0,0,0,0,0,0,63001,230592512,107905024,31760296,1638528,0,0,0
2026-09-15T10:05:28.4159240Z,warmup,540.2,536,536,0,0,0,0,0,0,60476,230563840,106913792,31760296,1638528,0,0,0
2026-09-15T10:06:28.4412789Z,warmup,600.3,596,596,0,0,0,0,0,0,62207,232022016,108380160,31760296,1638528,0,0,0
2026-09-15T10:07:28.4567131Z,warmup,660.3,655,655,0,0,0,0,0,0,60379,231264256,106827776,31760296,1638528,0,0,0
2026-09-15T10:08:28.4686241Z,warmup,720.3,715,715,0,0,0,0,0,0,61507,232361984,107982848,31760296,1638528,0,0,0
2026-09-15T10:09:28.4931002Z,warmup,780.3,774,774,0,0,0,0,0,0,61771,232382464,107896832,31760296,1638528,0,0,0
2026-09-15T10:10:28.5083171Z,warmup,840.3,834,834,0,0,0,0,0,0,62483,232394752,107900928,31760296,1638528,0,0,0
2026-09-15T10:11:28.5340297Z,sustained,900.4,893,893,0,0,0,0,0,0,59847,233754624,109518848,31760296,1638528,0,0,0
2026-09-15T10:12:28.5529841Z,sustained,960.4,4470,4470,0,0,0,0,0,0,3292873,243417088,123158528,31432904,1638528,7,2,1
2026-09-15T10:13:28.5783320Z,sustained,1020.4,4916,4916,0,0,0,0,0,0,414429,243900416,122753024,31432904,1638528,1,0,0
2026-09-15T10:14:28.5919256Z,sustained,1080.4,5362,5362,0,0,0,0,0,0,415583,243900416,122716160,35106600,1638528,2,0,0
2026-09-15T10:15:28.6076435Z,sustained,1140.4,5809,5809,0,0,0,0,0,1,413846,243900416,122679296,31432904,1638528,3,0,0
2026-09-15T10:16:28.6300944Z,sustained,1200.4,6257,6257,0,0,0,0,0,0,421147,243994624,122789888,31432904,1638528,3,0,0
2026-09-15T10:17:28.6402470Z,sustained,1260.5,6704,6704,0,0,0,0,0,0,415790,243957760,122703872,31432904,1638528,2,0,0
2026-09-15T10:18:28.6529566Z,sustained,1320.5,7150,7150,0,0,0,0,0,0,417307,243978240,122707968,31432904,1638528,3,0,0
2026-09-15T10:19:28.6741638Z,sustained,1380.5,7598,7598,0,0,0,0,0,0,414642,244035584,122789888,31432904,1638528,3,0,0
