utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T12:41:50.9683932Z,warmup,60.1,60,60,0,0,0,0,0,0,73570,224272384,101908480,27566024,1498320,0,0,0
2026-09-15T12:42:50.9963935Z,sustained,120.1,540,540,0,0,0,0,0,0,455799,229761024,106471424,31298560,1638528,1,0,0
2026-09-15T12:43:51.0216783Z,sustained,180.1,987,987,0,0,0,0,0,0,418038,231473152,108367872,31298560,1638528,0,0,0
2026-09-15T12:44:51.0452654Z,sustained,240.2,1839,1839,0,0,0,0,0,0,791180,238346240,116125696,32592016,1638528,3,1,1
2026-09-15T12:45:51.0677979Z,sustained,300.2,2288,2288,0,0,0,0,0,0,418176,238305280,116035584,32592016,1638528,0,0,0
2026-09-15T12:46:51.0775371Z,sustained,360.2,3137,3137,0,0,0,0,0,0,788798,240582656,120233984,31469304,1638528,1,1,0
2026-09-15T12:47:51.0886683Z,sustained,420.2,3586,3586,0,0,0,0,0,0,418680,241127424,120696832,33977792,1638528,1,0,0
2026-09-15T12:48:51.1097249Z,sustained,480.2,4428,4428,0,0,0,0,0,0,777878,241238016,120745984,31469304,1638528,2,0,0
2026-09-15T12:49:51.1266590Z,sustained,540.2,4875,4875,0,0,0,0,0,0,415151,241254400,120664064,31469304,1638528,1,0,0
2026-09-15T12:50:51.1454740Z,sustained,600.3,5714,5714,0,0,0,0,0,0,776950,241246208,120680448,31469304,1638528,2,0,0
2026-09-15T12:51:51.1544545Z,sustained,660.3,6162,6162,0,0,0,0,0,0,417067,241188864,120700928,31469304,1638528,2,0,0
2026-09-15T12:52:51.1776177Z,sustained,720.3,6999,6999,0,0,0,0,0,0,778473,242954240,122437632,31469304,1638528,4,0,0
2026-09-15T12:53:51.1989209Z,sustained,780.3,7445,7445,0,0,0,0,0,0,415351,241524736,120856576,31469304,1638528,2,0,0
2026-09-15T12:54:51.2203551Z,drain,840.3,7499,7499,0,0,0,0,0,0,52554,241455104,120651776,31469304,1638528,0,0,0
2026-09-15T12:55:51.2306450Z,drain,900.3,7499,7499,0,0,0,0,0,0,3104,241328128,120557568,31469304,1638528,0,0,0
