utc,phase,elapsed_s,sent,published,futures_quotes,option_quotes,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta,live_managed_B,cql_idle_B,cql_new_arrays,decoder_overflow
2026-09-16T00:26:31.8878597Z,warmup,60.1,1179,1179,11984,120064,0,0,0,0,0,0,896244,246185984,125591552,39381464,1638528,2,0,0,32844416,30778,2,0
2026-09-16T00:27:31.9153915Z,sustained,120.1,2358,2358,23968,240128,0,0,0,0,0,0,864368,246497280,126558208,39677712,1638528,2,1,1,44594728,30778,2,0
2026-09-16T00:28:31.9392789Z,sustained,180.1,3537,3537,35952,360192,0,0,0,0,0,0,862152,250290176,133238784,40542848,1638528,1,1,0,56563912,30778,2,0
2026-09-16T00:29:31.9662176Z,sustained,240.1,4716,4715,47936,480256,0,0,0,0,0,1,863615,250249216,133128192,40935712,1638528,2,0,0,31032696,30778,2,0
2026-09-16T00:30:31.9821111Z,sustained,300.2,5894,5894,59920,600208,0,0,0,0,0,0,867855,250482688,133365760,41246784,1638528,2,0,0,37966112,30778,2,0
2026-09-16T00:31:32.0055914Z,sustained,360.2,7074,7074,72016,720272,0,0,0,0,0,0,861339,250179584,132980736,41598024,1638528,3,0,0,42217800,30778,2,0
2026-09-16T00:32:32.0199734Z,sustained,420.2,8253,8253,84000,840336,0,0,0,0,0,0,863452,250478592,133238784,41821736,1638528,6,0,0,39971152,30778,2,0
2026-09-16T00:33:32.0432248Z,sustained,480.2,9432,9432,95984,960400,0,0,0,0,0,0,862633,250535936,133206016,42030992,1638528,5,0,0,43229128,30778,2,0
2026-09-16T00:34:32.0549699Z,sustained,540.2,10610,10610,107968,1080352,0,0,0,0,0,0,861780,231317504,113500160,42228952,1638528,5,0,0,42583360,30778,2,0
2026-09-16T00:35:32.0809373Z,sustained,600.3,11789,11789,119952,1200416,0,0,0,0,0,0,868123,227082240,109285376,42938280,1638528,5,0,0,36252632,30778,2,0
2026-09-16T00:36:32.0927153Z,sustained,660.3,12969,12969,132048,1320480,0,0,0,0,0,0,865538,226983936,109256704,43325776,1638528,5,0,0,42671136,30778,2,0
2026-09-16T00:37:32.1038134Z,sustained,720.3,14147,14147,144032,1440432,0,0,0,0,0,1,868192,227217408,109498368,43967872,1638528,5,0,0,41292416,30778,2,0
2026-09-16T00:38:32.1310560Z,sustained,780.3,15326,15326,156016,1560496,0,0,0,0,0,1,862333,226926592,109346816,44090736,1638528,6,0,0,37252320,30778,2,0
2026-09-16T00:39:32.1537318Z,drain,840.3,15468,15468,157472,1574944,0,0,0,0,0,0,105848,225611776,107376640,44210040,1638528,1,0,0,34409936,30778,2,0
2026-09-16T00:40:32.1680646Z,drain,900.3,15468,15468,157472,1574944,0,0,0,0,0,0,3102,226557952,108683264,44210040,1638528,0,0,0,34597768,30778,2,0
