utc,phase,elapsed_s,sent,published,futures_quotes,option_quotes,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T22:16:49.7071443Z,warmup,60.1,31,31,8192,118784,0,0,0,0,0,0,926529,233304064,110616576,47150112,11176904,11,11,11
2026-09-15T22:17:49.7398058Z,sustained,120.1,63,63,20480,237568,0,0,0,0,0,0,851090,227901440,104148992,46473712,10051224,11,11,11
2026-09-15T22:18:49.7589688Z,sustained,180.1,95,95,32768,356352,0,0,0,0,0,0,851420,220139520,96063488,46177288,9592416,11,11,11
2026-09-15T22:19:49.7831630Z,sustained,240.1,128,128,45056,479232,0,0,0,0,0,0,853652,220749824,96636928,46820208,10155256,10,10,10
2026-09-15T22:20:49.8079193Z,sustained,300.2,160,160,57344,598016,0,0,0,0,0,0,859478,220000256,95969280,46375400,9592416,11,11,11
2026-09-15T22:21:49.8297690Z,sustained,360.2,192,192,69632,716800,0,0,0,0,0,0,840877,221036544,97009664,47112192,10155256,10,10,10
2026-09-15T22:22:49.8548165Z,sustained,420.2,225,225,81920,839680,0,0,0,0,0,0,858848,220983296,96845824,47148440,10078320,11,11,11
2026-09-15T22:23:49.8716723Z,sustained,480.2,257,257,94208,958464,0,0,0,0,0,0,851645,224198656,102645760,42005704,10641160,11,10,10
2026-09-15T22:24:49.8926753Z,sustained,540.3,289,289,106496,1077248,0,0,0,0,0,0,845761,217976832,96387072,40043528,8597864,11,11,11
2026-09-15T22:25:49.9051629Z,sustained,600.3,322,322,118784,1200128,0,0,0,0,0,0,873852,219459584,97882112,41641904,10078320,11,11,11
2026-09-15T22:26:49.9210219Z,sustained,660.3,354,354,131072,1318912,0,0,0,0,0,0,834942,218030080,95911936,40298600,8597864,10,10,10
2026-09-15T22:27:49.9471774Z,sustained,720.3,386,386,143360,1437696,0,0,0,0,0,0,868611,219463680,97386496,40945920,9160704,11,11,11
2026-09-15T22:28:49.9691844Z,sustained,780.3,419,419,155648,1560576,0,0,0,0,0,0,846879,220643328,98279424,42568080,10641160,11,11,11
2026-09-15T22:29:49.9776893Z,drain,840.3,422,422,155648,1572864,0,0,0,0,0,0,87756,217690112,95834112,39536032,7576216,1,1,1
2026-09-15T22:30:49.9918040Z,drain,900.4,422,422,155648,1572864,0,0,0,0,0,0,3004,217501696,94957568,39536032,7576216,0,0,0
