utc,phase,elapsed_s,sent,published,futures_quotes,option_quotes,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T22:44:18.7742937Z,warmup,5.1,2,2,0,8192,0,0,0,0,0,0,1248448,221188096,102027264,39779200,4692240,1,1,1
2026-09-15T22:44:23.8085573Z,sustained,10.1,4,4,0,16384,0,0,0,0,0,0,787144,225996800,106561536,43220944,7784280,1,1,1
2026-09-15T22:44:28.8275140Z,sustained,15.1,7,7,0,28672,0,0,0,0,0,0,1048609,225116160,106270720,44246912,8805928,1,1,1
2026-09-15T22:44:33.8440183Z,sustained,20.1,9,9,0,36864,0,0,0,0,0,0,615297,226516992,107413504,44814072,9368768,1,1,1
2026-09-15T22:44:38.8645358Z,sustained,25.1,13,13,4096,49152,0,0,0,0,0,0,1326479,224251904,102907904,42212256,6762632,1,1,1
2026-09-15T22:44:43.8838875Z,sustained,30.2,15,15,4096,57344,0,0,0,0,0,0,661204,234119168,112599040,44296672,8805928,1,1,1
2026-09-15T22:44:48.9034034Z,sustained,35.2,18,18,4096,69632,0,0,0,0,0,0,931437,228511744,106950656,45323008,9827576,1,1,1
2026-09-15T22:44:53.9222845Z,sustained,40.2,20,20,4096,77824,0,0,0,0,0,0,635367,228532224,106962944,45323008,9827576,0,0,0
2026-09-15T22:44:58.9407031Z,sustained,45.2,24,24,8192,90112,0,0,0,0,0,0,1496175,232054784,109514752,44464336,8701896,1,1,1
2026-09-15T22:45:03.9586467Z,sustained,50.2,26,26,8192,98304,0,0,0,0,0,0,616256,226668544,105693184,45490304,9723544,1,1,1
2026-09-15T22:45:08.9788793Z,drain,55.3,27,27,8192,102400,0,0,0,0,0,0,308212,227622912,106512384,45490304,9723544,0,0,0
2026-09-15T22:45:13.9982608Z,drain,60.3,27,27,8192,102400,0,0,0,0,0,0,10497,226496512,103718912,45490304,9723544,0,0,0
