utc,phase,elapsed_s,sent,published,futures_quotes,option_quotes,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T22:08:58.1230019Z,warmup,5.1,2,2,0,8192,0,0,0,0,0,0,1269349,222765056,103686144,41055520,5845016,1,1,1
2026-09-15T22:09:03.1586711Z,sustained,10.1,4,4,0,16384,0,0,0,0,0,0,728888,225996800,106504192,43103208,7888312,1,1,1
2026-09-15T22:09:08.1776226Z,sustained,15.1,7,7,0,28672,0,0,0,0,0,0,1147255,225267712,106373120,43773752,8347120,1,1,1
2026-09-15T22:09:13.1966948Z,sustained,20.1,9,9,0,36864,0,0,0,0,0,0,619833,225980416,106737664,43773752,8347120,0,0,0
2026-09-15T22:09:18.2197304Z,sustained,25.2,13,13,4096,49152,0,0,0,0,0,0,1760491,228802560,107790336,46348080,10089832,2,2,2
2026-09-15T22:09:23.2499910Z,sustained,30.2,15,15,4096,57344,0,0,0,0,0,0,633548,237166592,115884032,46348080,10089832,0,0,0
2026-09-15T22:09:28.2675043Z,sustained,35.2,18,18,4096,69632,0,0,0,0,0,0,1020858,238858240,117112832,47832856,11570288,1,1,1
2026-09-15T22:09:33.2879966Z,sustained,40.2,20,20,4096,77824,0,0,0,0,0,0,614853,232423424,111640576,48858824,12591936,1,1,1
2026-09-15T22:09:38.3081551Z,sustained,45.3,24,24,8192,90112,0,0,0,0,0,0,1388305,236859392,114315264,49676688,13154776,1,1,1
2026-09-15T22:09:43.3253058Z,sustained,50.3,26,26,8192,98304,0,0,0,0,0,0,632020,227319808,105988096,46619968,10089832,1,1,1
2026-09-15T22:09:48.3459791Z,drain,55.3,27,27,8192,102400,0,0,0,0,0,0,402186,228331520,106786816,46619968,10089832,0,0,0
2026-09-15T22:09:53.3631586Z,drain,60.3,27,27,8192,102400,0,0,0,0,0,0,9588,227430400,105205760,46619968,10089832,0,0,0
