utc,phase,elapsed_s,sent,published,futures_quotes,option_quotes,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta,live_managed_B,cql_idle_B,cql_new_arrays,decoder_overflow
2026-09-15T23:54:46.5981694Z,warmup,25.1,106,106,4608,49664,0,0,0,0,0,0,264444,222302208,99958784,23508640,1301608,0,0,0,51323160,140686,2,0
2026-09-15T23:55:11.6272563Z,sustained,50.1,214,214,9728,99840,0,0,0,0,0,0,200676,226836480,104120320,23508640,1301608,0,0,0,56350008,140686,2,0
2026-09-15T23:55:36.6580624Z,sustained,75.1,322,322,14848,150016,0,0,0,0,0,0,197502,228462592,107126784,38905720,1498320,1,0,0,36612688,140686,2,0
2026-09-15T23:56:01.6679019Z,sustained,100.1,430,430,19968,200192,0,0,0,0,0,0,203884,230850560,109756416,38905720,1498320,0,0,0,43462240,70343,2,0
2026-09-15T23:56:26.6809249Z,sustained,125.2,536,536,24576,249856,0,0,0,0,0,0,200244,230526976,109215744,38905720,1498320,0,0,0,48472216,140686,2,0
2026-09-15T23:56:51.7012902Z,sustained,150.2,644,644,29696,300032,0,0,0,0,0,0,195025,231133184,109977600,38905720,1498320,0,0,0,53355880,140686,2,0
2026-09-15T23:57:16.7203372Z,sustained,175.2,752,752,34816,350208,0,0,0,0,0,0,195799,230961152,110006272,38905720,1498320,0,0,0,58269600,140686,2,0
2026-09-15T23:57:41.7484013Z,sustained,200.2,860,860,39936,400384,0,0,0,0,0,0,210903,235966464,115085312,38905720,1498320,0,0,0,63538040,140686,2,0
2026-09-15T23:58:06.7596908Z,sustained,225.2,966,966,44544,450048,0,0,0,0,0,0,199074,241033216,120016896,38905720,1498320,0,0,0,68536696,140686,2,0
2026-09-15T23:58:31.7711054Z,sustained,250.2,1074,1074,49664,500224,0,0,0,0,0,0,197365,245985280,124993536,38905720,1498320,0,0,0,73479512,140686,2,0
2026-09-15T23:58:56.8017535Z,drain,275.3,1127,1127,52224,524800,0,0,0,0,0,0,96669,245805056,124260352,38125736,1498320,1,0,0,37074328,140686,2,0
2026-09-15T23:59:21.8271852Z,drain,300.3,1127,1127,52224,524800,0,0,0,0,0,0,3245,245772288,124219392,38125736,1498320,0,0,0,37172312,140686,2,0
