utc,phase,elapsed_s,sent,published,futures_quotes,option_quotes,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T23:35:51.1206368Z,warmup,60.1,257,257,11776,119808,0,0,0,0,0,0,225752,225710080,104439808,41937912,1498320,1,0,0
2026-09-15T23:36:51.1590300Z,sustained,120.1,515,515,23552,240128,0,0,0,0,0,0,196570,226086912,104607744,41937912,1498320,0,0,0
2026-09-15T23:37:51.1699500Z,sustained,180.1,773,773,35840,359936,0,0,0,0,0,0,200636,235958272,114917376,41937912,1498320,0,0,0
2026-09-15T23:38:51.1785677Z,sustained,240.1,1030,1030,47616,479744,0,0,0,0,0,0,199587,240656384,123924480,37355584,1498320,2,2,1
2026-09-15T23:39:51.2081374Z,sustained,300.1,1289,1289,59904,600064,0,0,0,0,0,0,198995,240758784,123969536,37355584,1498320,0,0,0
2026-09-15T23:40:51.2354978Z,sustained,360.2,1546,1546,71680,719872,0,0,0,0,0,0,205891,241090560,124293120,37355584,1498320,0,0,0
2026-09-15T23:41:51.2613538Z,sustained,420.2,1805,1805,83968,840192,0,0,0,0,0,0,203628,245039104,128204800,38276440,1498320,1,0,0
2026-09-15T23:42:51.2732481Z,sustained,480.2,2062,2062,95744,960000,0,0,0,0,0,0,195620,245121024,128192512,38276440,1498320,0,0,0
2026-09-15T23:43:51.2972055Z,sustained,540.2,2321,2321,108032,1080320,0,0,0,0,0,0,198707,245186560,128262144,38276440,1498320,0,0,0
2026-09-15T23:44:51.3226856Z,sustained,600.3,2578,2578,119808,1200128,0,0,0,0,0,0,200467,249552896,132608000,38276440,1498320,0,0,0
2026-09-15T23:45:51.3379341Z,sustained,660.3,2836,2836,131584,1320448,0,0,0,0,0,0,195560,260870144,142811136,38276440,1498320,0,0,0
2026-09-15T23:46:51.3495563Z,sustained,720.3,3094,3094,143872,1440256,0,0,0,0,0,0,203539,274087936,156327936,38276440,1498320,0,0,0
2026-09-15T23:47:51.3763611Z,sustained,780.3,3352,3352,155648,1560576,0,0,0,0,0,0,200302,274309120,156372992,38276440,1498320,1,0,0
2026-09-15T23:48:51.4006614Z,drain,840.3,3383,3383,157184,1574912,0,0,0,0,0,0,26091,274399232,156311552,38276440,1498320,0,0,0
2026-09-15T23:49:51.4166211Z,drain,900.4,3383,3383,157184,1574912,0,0,0,0,0,0,2985,275034112,157110272,38276440,1498320,0,0,0
