"ContractId","ValueDate","OpenPrice","HighPrice","LowPrice","ClosePrice","Volume","Size","DailyPercentChange","DailyStdDev","AverageStdDev","UpperBand","Mean","LowerBand","MarketTrend","TradeStrategy","PutSpreadProbability","PutSpreadStdDev","CallSpreadProbability","CallSpreadStdDev","RateOfReturn","NearestPutStrike","NearestCallStrike"
"ES20191220","2019-09-24","2997","3012.25","3000.75","3007","55216","1","3.3255736E-3","37.066025","39.743309","3051.0635","2976.9314","2902.7996","NeutralUp","Put Credit Spread @ -1.30 SDEV","0.8064","1.2971963","0.91079998","1.7028037","5.5682942E-2","2945","3070"
"ES20191220","2019-09-23","2989.5","3000.75","2992.75","2997","116074","1","3.5000001E-3","41.216484","41.683723","3053.6519","2971.219","2888.7861","NeutralUp","Put Credit Spread @ -1.33 SDEV","0.81639999","1.3254278","0.90499997","1.6745722","6.2037069E-2","2940","3065"
"ES20191220","2019-09-20","3008","3018","3005.75","2989.5","142456","1","1.5766326E-3","47.791836","47.791836","3061.2402","2965.6565","2870.0728","NeutralUp","Put Credit Spread @ -1.25 SDEV","0.7888","1.2536529","0.91979998","1.7463471","7.2068892E-2","2950","3095"
"ES20191220","2019-09-19","3008.75","3024.5","2991.25","3008","297698","1","-2.4933511E-4","49.805756","49.805756","3058.793","2959.1814","2859.5701","NeutralUp","Put Credit Spread @ -1.25 SDEV","0.7888","1.2549555","0.91979998","1.7450445","7.5270176E-2","2935","3090"
"ES20191220","2019-09-18","3008.25","3010.5","2982.75","3008.75","236640","1","1.6618197E-4","53.52409","53.52409","3058.5796","2951.5315","2844.4834","Up","Put Credit Spread @ -1.23 SDEV","0.78140002","1.2327441","0.92320001","1.7672559","8.1099257E-2","2940","3100"
"ES20191220","2019-09-17","3004.25","3009","2998.25","3008.25","114181","3","2.8255631E-3","50.969765","50.969765","3045.821","2943.8816","2841.9419","Up","Put Credit Spread @ -1.18 SDEV","0.76200002","1.184281","0.93120003","1.815719","7.7429652E-2","2935","3100"
"ES20190920","2019-09-17","2999.75","3004.25","2993","2996","23441","10","-1.2516689E-3","50.223686","50.223686","3043.7163","2943.269","2842.8215","Up","Put Credit Spread @ -1.24 SDEV","0.78500003","1.2375193","0.92159998","1.7624807","0.07631214","2930","3080"
"ES20190920","2019-09-16","3007","3003.25","2981.25","2999.75","151676","10","-2.416868E-3","49.563541","49.563541","3037.521","2938.394","2839.2668","Up","Put Credit Spread @ -1.19 SDEV","0.76599997","1.1905185","0.92979997","1.8094815","7.5434029E-2","2940","3085"
"ES20190920","2019-09-13","3011.5","3023.75","3003.75","3007","217019","7","-1.4965081E-3","47.484577","47.484577","3029.5505","2934.5815","2839.6123","Up","Put Credit Spread @ -1.12 SDEV","0.73720002","1.1187261","0.93980002","1.8812739","7.2363809E-2","2950","3095"
"ES20190920","2019-09-12","3002.25","3021.5","3001.5","3011.5","100665","2","3.0715591E-3","45.170372","45.484077","3019.1597","2928.8191","2838.4783","Up","Put Credit Spread @ -1.04 SDEV","0.70160002","1.0423936","0.94999999","1.9576064","6.8972521E-2","2960","3100"
"ES20190920","2019-09-11","2979","3002.5","2972.25","3002.25","281003","3","7.7441917E-3","44.203972","45.619843","3009.052","2920.644","2832.2361","Up","Put Credit Spread @ -1.04 SDEV","0.70160002","1.0384691","0.94999999","1.9615309","0.06768582","2950","3090"
"ES20190920","2019-09-10","2978.25","2979.75","2958.5","2979","201810","5","2.5176234E-4","43.318584","45.752514","2999.1687","2912.5315","2825.8943","Up","Put Credit Spread @ -1.12 SDEV","0.73720002","1.1163973","0.93980002","1.8836027","0.06651485","2915","3065"
"ES20190920","2019-09-09","2981","2991.5","2969.5","2978.25","118121","1","1.4236664E-3","41.367611","45.278942","2993.2793","2910.5439","2827.8088","Up","Put Credit Spread @ -1.05 SDEV","0.7062","1.0485235","0.94880003","1.9514765","6.3562542E-2","2925","3070"
"ES20190920","2019-09-06","2972","2985.5","2976.75","2981","74781","1","3.019121E-3","37.90556","44.16227","2981.1052","2905.2939","2829.4829","Up","Call Credit Spread @ -2.00 SDEV","0.68260002","1.0006932","0","1.9993068","5.8348246E-2","2925","3065"
